Season	TropicalDepressions	NamedStorms	Hurricanes	Category≥2	Majorhurricanes(Category≥3)	Category≥4	Category5
1967	29	8	6	2	1	1	1
1968	14	8	5	0	0	0	0
1969	20	18	12	7	5	1	1
1970	19	10	5	3	2	0	0
1971	22	13	6	2	1	1	1
1972	19	7	3	1	0	0	0
1973	24	8	4	1	1	0	0
1974	21	11	4	3	2	1	0
1975	23	9	6	5	3	1	0
1976	23	10	6	4	2	0	0
1977	16	6	5	1	1	1	1
1978	24	12	5	3	2	2	0
1979	26	9	5	3	2	2	1
1980	15	11	9	5	2	1	1
1981	22	12	7	4	3	1	0
1982	9	6	2	1	1	1	0
1983	7	4	3	1	1	0	0
1984	20	13	5	2	1	1	0
1985	14	11	7	3	3	1	0
1986	10	6	4	1	0	0	0
1987	14	7	3	1	1	0	0
1988	19	12	5	3	3	3	1
1989	15	11	7	4	2	2	1
1990	16	14	8	2	1	0	0
1991	12	8	4	3	2	1	0
1992	10	7	4	3	1	1	1
1993	10	8	4	2	1	0	0
1994	12	7	3	1	0	0	0
1995	21	19	11	8	5	3	0
1996	13	13	9	6	6	2	0
1997	9	8	3	1	1	0	0
1998	14	14	10	7	3	2	1
1999	16	12	8	8	5	5	0
2000	19	15	8	4	3	2	0
2001	17	15	9	5	4	2	0
2002	14	12	4	3	2	1	0
2003	21	16	7	4	3	2	1
2004	16	15	9	7	6	4	1
2005	31	28	15	8	7	5	4
2006	10	10	5	2	2	0	0
2007	17	15	6	2	2	2	2
2008	17	16	8	6	5	4	0
2009	11	9	3	3	2	1	0
2010	21	19	12	9	5	4	0
2011	20	19	7	4	4	2	0
2012	19	19	10	5	2	0	0
2013	15	14	2	0	0	0	0
2014	9	8	6	3	2	1	0
2015	12	11	4	2	2	1	0
2016	16	15	7	4	4	2	1
2017	18	17	10	8	6	4	2
2018	16	15	8	5	2	2	1
